iter	RMSE
0	16099.26638
1	15783.50767
2	15551.26995
3	15288.1316
4	14989.9891
5	14681.38108
6	14404.21287
7	14128.35981
8	13918.10059
9	13664.23276
10	13445.80904
11	13181.74748
12	12995.27654
13	12772.30604
14	12594.43381
15	12374.97661
16	12180.57333
17	12034.8186
18	11837.20283
19	11649.90867
20	11462.47902
21	11261.03961
22	11085.03924
23	10962.45511
24	10841.66064
25	10658.22025
26	10480.97135
27	10347.18838
28	10202.93457
29	10083.02646
30	9964.882403
31	9852.841094
32	9761.376002
33	9655.569173
34	9528.331167
35	9412.602262
36	9287.757463
37	9151.922893
38	9067.433791
39	8969.774376
40	8846.157079
41	8725.814221
42	8637.913178
43	8522.310749
44	8438.474691
45	8339.07553
46	8263.186014
47	8159.807994
48	8086.003418
49	7997.197494
50	7909.049514
51	7819.389427
52	7750.025253
53	7684.380927
54	7615.728304
55	7535.001578
56	7457.376429
57	7384.589274
58	7309.639066
59	7238.240139
60	7179.231665
61	7111.425268
62	7041.494096
63	7000.994448
64	6940.709862
65	6894.184845
66	6835.656726
67	6785.105803
68	6718.152735
69	6668.579988
70	6616.883839
71	6571.642094
72	6528.822074
73	6474.894418
74	6430.299198
75	6384.541547
76	6341.102633
77	6311.250301
78	6263.229709
79	6225.430125
80	6190.106498
81	6158.550021
82	6123.067201
83	6089.752889
84	6049.491307
85	6013.266289
86	5983.156617
87	5953.091174
88	5923.449154
89	5890.816446
90	5857.519623
91	5832.992601
92	5809.370243
93	5776.987171
94	5742.76679
95	5714.312919
96	5687.19312
97	5653.40421
98	5628.801721
99	5609.621884
100	5579.076511
101	5553.061744
102	5530.079978
103	5512.898461
104	5485.530869
105	5471.421071
106	5455.721905
107	5442.003888
108	5424.469594
109	5405.66812
110	5386.607186
111	5374.466556
112	5361.514219
113	5349.165225
114	5337.392618
115	5326.170541
116	5310.004769
117	5295.387159
118	5276.491034
119	5267.613794
120	5258.274289
121	5243.963727
122	5235.339235
123	5222.551572
124	5210.311805
125	5202.576346
126	5195.136318
127	5179.324059
128	5170.585445
129	5158.537938
130	5146.646035
131	5138.76839
132	5131.863022
133	5126.070341
134	5118.476469
135	5102.260045
136	5092.201741
137	5081.911914
138	5076.17315
139	5065.820811
140	5055.146726
141	5048.087231
142	5034.410634
143	5030.708428
144	5016.103107
145	5012.306106
146	4998.266134
147	4994.682953
148	4990.012774
149	4983.505992
150	4970.48227
151	4964.346764
152	4960.712347
153	4948.087958
154	4932.002438
155	4928.003515
156	4920.626024
157	4909.201938
158	4905.59094
159	4902.08441
160	4899.053008
161	4896.984674
162	4894.305174
163	4892.285026
164	4888.05855
165	4882.248943
166	4880.51302
167	4876.634849
168	4863.732725
169	4850.209582
170	4847.498554
171	4838.715558
172	4834.525521
173	4833.140719
174	4827.599345
175	4825.55096
176	4817.709448
177	4809.911743
178	4803.199858
179	4800.486022
180	4796.312218
181	4795.285463
182	4794.309114
183	4793.379075
184	4787.309908
185	4785.594583
186	4784.774596
187	4781.990718
188	4773.038937
189	4768.005184
190	4764.038057
191	4763.36217
192	4759.942755
193	4759.317776
194	4754.179456
195	4752.445771
196	4748.102397
197	4738.816108
198	4738.296182
199	4732.778955
200	4730.417631
201	4729.950639
202	4729.506247
203	4727.072164
204	4726.660868
205	4724.26342
206	4723.877162
207	4722.341553
208	4721.98225
209	4719.993483
210	4716.911051
211	4714.373981
212	4714.065425
213	4711.18032
214	4708.429305
215	4707.058581
216	4705.550303
217	4705.287947
218	4703.075319
219	4702.831416
220	4702.599362
221	4702.378581
222	4699.636166
223	4692.481319
224	4691.524144
225	4689.89379
226	4688.600448
227	4688.406933
228	4688.179985
229	4676.256799
230	4675.859882
231	4674.489701
232	4674.325747
233	4674.169233
234	4674.020352
235	4673.878732
236	4672.05904
237	4671.923545
238	4671.047528
239	4669.291192
240	4667.669936
241	4667.488379
242	4666.709949
243	4664.562228
244	4663.820238
245	4663.037327
246	4661.353006
247	4655.259825
248	4653.30156
249	4653.192383
250	4652.483194
251	4651.821776
252	4651.727811
253	4643.735364
254	4641.894936
255	4640.963811
256	4640.875456
257	4633.413469
258	4625.446937
259	4625.361254
260	4624.678492
261	4623.433906
262	4622.776352
263	4615.519902
264	4614.823956
265	4614.263077
266	4607.655223
267	4606.22653
268	4605.079131
269	4603.624213
270	4593.692133
271	4592.311741
272	4590.979236
273	4589.992845
274	4588.791373
275	4587.700497
276	4586.641345
277	4585.62555
278	4585.031047
279	4578.485616
280	4577.5914
281	4576.672895
282	4575.56829
283	4575.090103
284	4574.548258
285	4573.673591
286	4572.636021
287	4571.756255
288	4565.919439
289	4565.118013
290	4564.207492
291	4563.770643
292	4562.85629
293	4562.465835
294	4561.755909
295	4561.32933
296	4560.586148
297	4560.202225
298	4559.827901
299	4558.99704
300	4558.63949
301	4557.839832
302	4557.136362
303	4556.636701
304	4555.942125
305	4555.596239
306	4554.820086
307	4549.442668
308	4548.781125
309	4548.132558
310	4547.793653
311	4547.439799
312	4546.737788
313	4546.10742
314	4545.482165
315	4544.873495
316	4539.653687
317	4539.063998
318	4538.485077
319	4533.478529
320	4533.151989
321	4532.748347
322	4532.207671
323	4527.403716
324	4522.729397
325	4522.441709
326	4522.067687
327	4521.711728
328	4521.162036
329	4520.862222
330	4516.362123
331	4516.103392
332	4515.568663
333	4515.295677
334	4515.040039
335	4514.511949
336	4513.963287
337	4513.452566
338	4509.137091
339	4505.003116
340	4504.513729
341	4500.446358
342	4499.970548
343	4480.461843
344	4480.11999
