iter	Passed	Remaining
0	23	23837
1	120	59961
2	250	83112
3	257	64042
4	263	52349
5	268	44495
6	283	40242
7	343	42635
8	361	39809
9	547	54198
10	559	50294
11	565	46566
12	574	43652
13	678	47798
14	685	45018
15	693	42644
16	701	40569
17	830	45312
18	891	46050
19	924	45307
20	989	46114
21	1013	45057
22	1075	45671
23	1103	44859
24	1169	45603
25	1188	44532
26	1197	43158
27	1233	42829
28	1244	41671
29	1250	40428
30	1256	39283
31	1264	38239
32	1270	37241
33	1315	37380
34	1335	36826
35	1376	36866
36	1384	36026
37	1396	35347
38	1470	36226
39	1617	38831
40	1669	39061
41	1685	38449
42	1742	38788
43	1794	38995
44	1801	38239
45	1807	37489
46	1816	36824
47	1883	37356
48	2516	48842
49	2539	48246
50	2669	49676
51	2711	49433
52	2735	48875
53	3041	53275
54	3137	53904
55	3270	55130
56	3278	54234
57	3285	53367
58	3314	52856
59	3319	52011
60	3336	51357
61	3340	50533
62	3346	49771
63	3520	51484
64	3575	51436
65	3658	51770
66	3697	51484
67	3714	50905
68	3727	50300
69	3758	49932
70	3802	49747
71	3807	49079
72	3815	48455
73	3845	48120
74	3887	47951
75	3901	47436
76	3990	47829
77	4005	47342
78	4066	47405
79	4073	46850
80	4084	46341
81	4230	47358
82	4239	46842
83	4252	46369
84	4260	45858
85	4563	48496
86	4722	49564
87	4736	49086
88	4743	48553
89	4750	48028
90	4759	47541
91	4799	47371
92	4814	46956
93	4823	46490
94	4832	46034
95	5033	47399
96	5093	47419
97	5102	46960
98	5109	46498
99	5115	46037
100	5122	45596
101	5130	45170
102	5136	44731
103	5192	44735
104	5303	45208
105	5388	45443
106	5398	45051
107	5404	44639
108	5416	44275
109	5515	44626
110	5531	44305
111	5601	44410
112	5661	44442
113	5672	44083
114	5686	43763
115	5746	43795
116	5752	43413
117	5765	43092
118	5816	43062
119	5819	42679
120	5823	42301
121	5827	41941
122	5831	41576
123	5835	41224
124	5839	40875
125	5843	40533
126	5846	40191
127	5888	40118
128	6007	40564
129	6077	40670
130	6093	40424
131	6101	40119
132	6110	39833
133	6119	39549
134	6127	39261
135	6219	39513
136	6300	39691
137	6318	39467
138	6371	39467
139	6430	39504
140	6438	39223
141	6446	38951
142	6508	39005
143	6514	38724
144	6530	38509
145	6593	38569
146	6605	38327
147	6637	38211
148	6662	38053
149	6669	37792
150	6674	37529
151	6682	37278
152	6687	37023
153	6746	37063
154	6822	37194
155	6831	36962
156	6841	36733
157	6845	36482
158	6849	36230
159	6855	35990
160	6858	35742
161	6863	35504
162	6882	35340
163	6897	35159
164	6913	34984
165	6946	34900
166	6950	34670
167	6952	34432
168	6954	34198
169	6958	33972
170	6960	33743
171	6963	33519
172	6967	33308
173	6976	33119
174	6986	32938
175	6988	32720
176	6991	32509
177	6994	32301
178	7013	32167
179	7015	31957
180	7017	31751
181	7019	31549
182	7021	31346
183	7023	31148
184	7036	31000
185	7044	30830
186	7046	30637
187	7049	30447
188	7052	30261
189	7055	30076
190	7058	29896
191	7068	29744
192	7072	29571
193	7075	29394
194	7078	29222
195	7088	29079
196	7093	28916
197	7099	28757
198	7105	28598
199	7109	28436
200	7160	28465
201	7168	28320
202	7171	28157
203	7176	28003
204	7185	27866
205	7190	27714
206	7198	27577
207	7250	27606
208	7257	27467
209	7270	27349
210	7292	27267
211	7367	27383
212	7371	27234
213	7387	27134
214	7427	27120
215	7437	26995
216	7441	26851
217	7446	26712
218	7459	26603
219	7472	26494
220	7509	26468
221	7512	26329
222	7518	26195
223	7523	26062
224	7529	25933
225	7534	25805
226	7570	25781
227	7582	25674
228	7585	25539
229	7591	25413
230	7594	25280
231	7598	25153
232	7603	25029
233	7608	24905
234	7618	24801
235	7623	24678
236	7651	24634
237	7656	24512
238	7660	24390
239	7665	24273
240	7669	24155
241	7673	24036
242	7677	23917
243	7707	23880
244	7721	23796
245	7823	23980
246	7830	23872
247	7835	23757
248	7838	23641
249	7841	23524
250	7844	23409
251	7851	23305
252	7855	23192
253	7860	23085
254	7863	22973
255	7877	22895
256	7897	22831
257	7902	22727
258	7909	22628
259	7913	22522
260	7915	22412
261	7917	22303
262	7920	22195
263	7923	22088
264	7925	21982
265	7927	21875
266	7930	21771
267	7932	21666
268	7937	21569
269	7944	21478
270	7947	21377
271	7948	21275
272	7951	21175
273	7954	21077
274	7958	20981
275	7963	20890
276	7975	20817
277	7985	20740
278	7989	20645
279	7991	20550
280	7996	20461
281	8010	20394
282	8014	20304
283	8018	20215
284	8021	20123
285	8025	20035
286	8029	19948
287	8033	19861
288	8039	19778
289	8044	19694
290	8067	19655
291	8090	19616
292	8112	19574
293	8118	19494
294	8123	19414
295	8132	19342
296	8138	19263
297	8142	19180
298	8149	19107
299	8182	19091
300	8191	19023
301	8198	18948
