iter	Passed	Remaining
0	4	4573
1	8	4369
2	12	4231
3	15	3827
4	28	5610
5	34	5697
6	39	5606
7	46	5768
8	49	5428
9	56	5547
10	61	5495
11	65	5403
12	70	5361
13	77	5475
14	82	5425
15	86	5323
16	90	5258
17	95	5197
18	97	5055
19	99	4861
20	101	4709
21	103	4608
22	106	4506
23	108	4409
24	109	4284
25	112	4204
26	115	4179
27	119	4138
28	123	4134
29	125	4068
30	127	3972
31	129	3909
32	131	3856
33	133	3801
34	136	3757
35	138	3718
36	141	3673
37	142	3612
38	145	3576
39	147	3538
40	149	3503
41	152	3471
42	155	3450
43	157	3418
44	159	3388
45	162	3360
46	164	3326
47	165	3281
48	167	3256
49	170	3235
50	172	3200
51	174	3180
52	176	3158
53	179	3139
54	181	3119
55	183	3101
56	185	3066
57	189	3085
58	193	3092
59	197	3099
60	200	3086
61	204	3092
62	208	3098
63	212	3105
64	216	3111
65	220	3113
66	223	3108
67	234	3208
68	240	3248
69	249	3310
70	269	3521
71	274	3534
72	281	3570
73	288	3609
74	296	3662
75	300	3648
76	307	3686
77	310	3665
78	312	3649
79	316	3636
80	320	3640
81	322	3610
82	324	3580
83	325	3551
84	327	3525
85	328	3493
86	331	3474
87	333	3457
88	335	3430
89	337	3412
90	339	3394
91	342	3376
92	344	3359
93	348	3358
94	350	3342
95	353	3326
96	355	3305
97	357	3289
98	358	3266
99	361	3250
100	363	3237
101	366	3223
102	368	3209
103	370	3192
104	375	3197
105	380	3207
106	383	3197
107	389	3213
108	398	3258
109	406	3286
110	410	3284
111	413	3276
112	417	3279
113	422	3284
114	428	3296
115	432	3297
116	435	3283
117	437	3270
118	440	3257
119	441	3240
120	443	3223
121	446	3211
122	447	3190
123	449	3178
124	452	3166
125	454	3155
126	457	3146
127	460	3137
128	463	3131
129	467	3126
130	469	3112
131	471	3100
132	473	3085
133	474	3068
134	477	3057
135	478	3039
136	480	3024
137	482	3011
138	483	2994
139	485	2984
140	487	2971
141	490	2964
142	492	2949
143	493	2932
144	498	2938
145	500	2928
146	502	2915
147	504	2905
148	506	2890
149	508	2880
150	511	2876
151	513	2863
152	515	2854
153	518	2847
154	519	2832
155	522	2827
156	525	2819
157	527	2809
158	529	2801
159	531	2792
160	534	2783
161	535	2769
162	537	2761
163	539	2749
164	541	2742
165	543	2732
166	545	2721
167	547	2713
168	550	2705
169	552	2696
170	554	2688
171	556	2679
172	561	2682
173	563	2677
174	567	2673
175	570	2669
176	572	2663
177	576	2662
178	581	2666
179	589	2685
180	590	2674
181	592	2662
182	594	2652
183	595	2643
184	597	2632
185	601	2630
186	603	2623
187	605	2614
188	607	2606
189	610	2600
190	612	2593
191	616	2592
192	618	2586
193	620	2578
194	623	2571
195	625	2565
196	627	2556
197	628	2545
198	631	2543
199	633	2533
200	634	2522
201	636	2513
202	638	2507
203	640	2500
204	642	2491
205	645	2488
206	647	2478
207	649	2474
208	651	2464
209	652	2455
210	655	2449
211	657	2444
212	659	2437
213	661	2429
214	662	2420
215	664	2411
216	666	2405
217	669	2400
218	671	2394
219	676	2397
220	680	2398
221	685	2403
222	688	2398
223	690	2391
224	691	2381
225	692	2372
226	694	2366
227	696	2358
228	698	2350
229	700	2345
230	701	2336
231	704	2333
232	707	2327
233	708	2318
234	710	2311
235	711	2303
236	713	2298
237	715	2290
238	716	2282
239	718	2275
240	719	2267
241	721	2259
242	722	2251
243	724	2244
244	725	2236
245	727	2230
246	729	2222
247	730	2214
248	733	2211
249	735	2206
250	738	2203
251	740	2198
252	743	2194
253	745	2190
254	749	2189
255	752	2186
256	756	2186
257	759	2182
258	767	2194
259	769	2190
260	774	2193
261	777	2190
262	779	2185
263	782	2180
264	783	2173
265	785	2166
266	786	2158
267	788	2152
268	789	2146
269	792	2142
270	794	2135
271	795	2129
272	796	2121
273	798	2114
274	799	2107
275	800	2101
276	802	2094
277	803	2087
278	806	2084
279	808	2077
280	809	2071
281	810	2064
282	812	2057
283	813	2051
284	815	2044
285	816	2039
286	818	2033
287	821	2030
288	823	2024
289	824	2018
290	825	2012
291	827	2006
292	829	2001
293	830	1995
294	832	1989
295	834	1983
296	836	1980
297	838	1974
298	840	1969
299	841	1963
300	842	1957
301	844	1951
302	846	1946
303	847	1940
304	850	1937
305	851	1931
306	853	1925
307	854	1919
308	855	1913
309	857	1907
310	858	1902
311	860	1896
312	861	1890
313	863	1887
314	865	1881
315	866	1875
316	868	1870
317	869	1864
318	871	1860
319	873	1856
320	874	1850
321	876	1845
322	878	1841
323	879	1836
324	881	1830
325	883	1826
326	885	1822
327	887	1818
328	888	1812
329	890	1807
330	892	1802
331	893	1797
332	894	1792
333	896	1786
334	897	1781
335	898	1776
336	900	1770
337	901	1765
338	902	1759
339	904	1754
340	905	1749
341	906	1744
342	907	1739
343	909	1735
344	913	1733
345	915	1730
346	918	1728
347	920	1724
348	922	1721
349	925	1719
350	929	1718
351	932	1716
352	938	1719
353	940	1716
354	941	1711
355	943	1706
356	944	1701
357	945	1696
358	947	1690
359	948	1686
360	951	1684
361	953	1680
362	955	1676
363	956	1671
364	958	1666
365	959	1662
366	961	1657
367	962	1652
368	963	1648
369	965	1643
370	966	1638
371	967	1634
372	970	1630
373	971	1626
374	973	1622
375	974	1617
376	976	1614
377	979	1611
378	981	1607
379	982	1603
380	983	1598
381	984	1593
382	986	1588
383	987	1584
384	989	1579
385	991	1577
386	994	1575
387	997	1572
388	998	1568
389	1000	1565
390	1002	1561
391	1003	1556
392	1005	1552
393	1006	1548
394	1007	1543
395	1009	1539
396	1010	1534
397	1011	1530
398	1013	1526
399	1014	1522
400	1016	1518
401	1017	1514
402	1019	1510
403	1020	1505
404	1022	1501
405	1023	1497
406	1024	1493
407	1025	1488
408	1027	1484
409	1028	1480
410	1029	1475
411	1031	1471
412	1032	1467
413	1033	1463
414	1035	1459
415	1037	1456
416	1038	1452
417	1040	1448
418	1041	1444
419	1042	1440
420	1044	1436
421	1045	1432
422	1047	1429
423	1049	1425
424	1050	1421
425	1052	1417
426	1054	1415
427	1057	1412
428	1058	1409
429	1060	1405
430	1061	1401
431	1062	1397
432	1064	1393
433	1065	1389
434	1066	1385
435	1068	1382
436	1069	1378
437	1071	1375
438	1073	1371
439	1074	1367
440	1075	1363
441	1078	1360
442	1080	1358
443	1082	1355
444	1084	1352
445	1087	1350
446	1089	1348
447	1092	1345
448	1094	1343
449	1097	1341
450	1100	1339
451	1102	1337
452	1109	1340
453	1116	1343
454	1122	1344
455	1126	1344
456	1130	1343
457	1134	1343
458	1137	1340
459	1140	1339
460	1144	1338
461	1146	1335
462	1148	1331
463	1150	1328
464	1151	1325
465	1152	1321
466	1154	1317
467	1155	1313
468	1156	1309
469	1158	1305
470	1159	1302
471	1160	1298
472	1162	1294
473	1163	1290
474	1164	1287
475	1166	1284
476	1168	1281
477	1170	1277
478	1171	1274
479	1173	1271
480	1175	1268
481	1177	1265
482	1178	1261
483	1179	1257
484	1181	1254
485	1183	1251
486	1184	1247
487	1186	1245
488	1187	1241
489	1189	1237
490	1190	1234
491	1191	1230
492	1194	1228
493	1195	1224
494	1197	1222
495	1199	1218
496	1200	1214
497	1201	1211
498	1203	1208
499	1206	1206
500	1208	1203
501	1210	1201
502	1214	1200
503	1217	1197
504	1220	1195
505	1222	1193
506	1225	1191
507	1226	1187
508	1228	1185
509	1229	1181
510	1231	1178
511	1233	1175
512	1235	1172
513	1237	1169
514	1238	1166
515	1241	1164
516	1242	1160
517	1244	1157
518	1245	1154
519	1247	1151
520	1248	1147
521	1249	1144
522	1250	1140
523	1252	1137
524	1253	1133
525	1254	1130
526	1255	1127
527	1256	1123
528	1258	1120
529	1259	1116
530	1261	1114
531	1264	1112
532	1266	1109
533	1269	1107
534	1272	1106
535	1275	1104
536	1277	1101
537	1280	1099
538	1283	1097
539	1288	1097
540	1289	1094
541	1290	1090
542	1291	1087
543	1294	1084
544	1295	1081
545	1296	1078
546	1298	1074
547	1300	1072
548	1302	1069
549	1303	1066
550	1304	1063
551	1306	1060
552	1307	1057
553	1309	1053
554	1310	1050
555	1311	1047
556	1312	1044
557	1313	1040
558	1315	1037
559	1316	1034
560	1317	1031
561	1318	1027
562	1320	1024
563	1321	1021
564	1322	1018
565	1324	1015
566	1325	1012
567	1326	1008
568	1327	1005
569	1329	1002
570	1330	999
571	1331	996
572	1332	993
573	1334	990
574	1335	987
575	1336	983
576	1338	980
577	1339	977
578	1340	974
579	1341	971
580	1342	968
581	1344	965
582	1345	962
583	1346	959
584	1348	956
585	1349	953
586	1350	950
587	1351	947
588	1353	944
589	1354	941
590	1355	938
591	1357	935
592	1358	932
593	1359	929
594	1361	926
595	1362	923
596	1364	921
597	1365	918
598	1367	915
599	1369	913
600	1371	910
601	1373	907
602	1374	905
603	1376	902
604	1377	899
605	1378	896
606	1379	893
607	1380	890
608	1382	887
609	1384	885
610	1386	882
611	1387	879
612	1389	876
613	1390	873
614	1393	872
615	1394	869
616	1395	866
617	1396	863
618	1398	860
619	1399	857
620	1400	854
621	1402	852
622	1403	849
623	1405	846
624	1406	843
625	1407	840
626	1408	838
627	1410	835
628	1411	832
629	1412	829
630	1413	826
631	1415	824
632	1416	821
633	1417	818
634	1419	815
635	1420	812
636	1421	810
637	1422	807
638	1423	804
639	1425	801
640	1426	798
641	1427	796
642	1428	793
643	1430	790
644	1431	787
645	1434	786
646	1436	783
647	1438	781
648	1441	779
649	1443	777
650	1447	775
651	1449	773
652	1452	771
653	1454	769
654	1457	767
655	1465	768
656	1468	766
657	1471	764
658	1473	762
659	1474	759
660	1475	756
661	1478	754
662	1479	752
663	1480	749
664	1482	746
665	1484	744
666	1486	742
667	1488	739
668	1489	737
669	1491	734
670	1492	731
671	1493	728
672	1494	726
673	1496	723
674	1497	720
675	1498	718
676	1500	715
677	1501	713
678	1502	710
679	1504	707
680	1505	705
681	1506	702
682	1507	699
683	1509	697
684	1510	694
685	1511	691
686	1512	689
687	1514	686
688	1515	684
689	1516	681
690	1518	679
691	1520	676
692	1521	674
693	1523	671
694	1524	669
695	1525	666
696	1527	663
697	1528	661
698	1529	658
699	1531	656
700	1532	653
701	1533	651
702	1535	648
703	1536	645
704	1537	643
705	1539	641
706	1541	638
707	1542	636
708	1543	633
709	1545	631
710	1547	628
711	1548	626
712	1549	623
713	1550	621
714	1552	618
715	1553	616
716	1554	613
717	1555	610
718	1556	608
719	1558	605
720	1559	603
721	1560	600
722	1561	598
723	1563	595
724	1564	593
725	1566	591
726	1567	588
727	1568	586
728	1570	583
729	1571	581
730	1572	578
731	1573	576
732	1575	573
733	1576	571
734	1577	568
735	1579	566
736	1580	563
737	1581	561
738	1582	558
739	1584	556
740	1585	554
741	1586	551
742	1587	549
743	1588	546
744	1590	544
745	1591	541
746	1592	539
747	1593	536
748	1595	534
749	1596	532
750	1597	529
751	1598	527
752	1600	524
753	1601	522
754	1604	520
755	1607	518
756	1609	516
757	1611	514
758	1614	512
759	1616	510
760	1618	508
761	1621	506
762	1623	504
763	1625	502
764	1630	500
765	1633	499
766	1637	497
767	1639	495
768	1642	493
769	1644	491
770	1646	489
771	1647	486
772	1648	484
773	1649	481
774	1651	479
775	1652	476
776	1653	474
777	1654	472
778	1656	469
779	1657	467
780	1658	465
781	1660	462
782	1661	460
783	1663	458
784	1664	455
785	1666	453
786	1667	451
787	1668	448
788	1669	446
789	1670	444
790	1672	441
791	1673	439
792	1674	437
793	1675	434
794	1677	432
795	1678	430
796	1679	427
797	1681	425
798	1682	423
799	1683	420
800	1684	418
801	1685	416
802	1687	413
803	1688	411
804	1689	409
805	1690	406
806	1692	404
807	1693	402
808	1694	400
809	1696	397
810	1697	395
811	1698	393
812	1699	390
813	1700	388
814	1702	386
815	1703	384
816	1704	381
817	1705	379
818	1706	377
819	1708	374
820	1709	372
821	1710	370
822	1711	368
823	1713	365
824	1714	363
825	1715	361
826	1717	359
827	1718	357
828	1720	354
829	1721	352
830	1722	350
831	1723	348
832	1724	345
833	1726	343
834	1727	341
835	1728	339
836	1729	336
837	1730	334
838	1732	332
839	1733	330
840	1734	327
841	1735	325
842	1736	323
843	1739	321
844	1740	319
845	1741	316
846	1742	314
847	1744	312
848	1746	310
849	1748	308
850	1749	306
851	1750	304
852	1752	302
853	1754	299
854	1755	297
855	1756	295
856	1757	293
857	1758	291
858	1760	288
859	1761	286
860	1762	284
861	1763	282
862	1764	280
863	1766	278
864	1768	276
865	1769	273
866	1774	272
867	1777	270
868	1779	268
869	1782	266
870	1785	264
871	1788	262
872	1790	260
873	1793	258
874	1796	256
875	1799	254
876	1804	253
877	1807	251
878	1811	249
879	1812	247
880	1814	245
881	1815	242
882	1817	240
883	1818	238
884	1820	236
885	1822	234
886	1823	232
887	1825	230
888	1826	228
889	1827	225
890	1829	223
891	1830	221
892	1831	219
893	1832	217
894	1833	215
895	1835	213
896	1836	210
897	1837	208
898	1839	206
899	1840	204
900	1841	202
901	1842	200
902	1844	198
903	1845	195
904	1846	193
905	1847	191
906	1849	189
907	1851	187
908	1852	185
909	1853	183
910	1854	181
911	1855	179
912	1856	176
913	1858	174
914	1859	172
915	1860	170
916	1861	168
917	1863	166
918	1864	164
919	1865	162
920	1866	160
921	1867	157
922	1868	155
923	1870	153
924	1871	151
925	1872	149
926	1873	147
927	1874	145
928	1876	143
929	1877	141
930	1878	139
931	1880	137
932	1881	135
933	1882	133
934	1883	130
935	1884	128
936	1887	126
937	1888	124
938	1889	122
939	1890	120
940	1891	118
941	1893	116
942	1895	114
943	1896	112
944	1897	110
945	1898	108
946	1900	106
947	1901	104
948	1902	102
949	1904	100
950	1905	98
951	1906	96
952	1908	94
953	1909	92
954	1911	90
955	1912	88
956	1913	85
957	1915	83
958	1916	81
959	1917	79
960	1919	77
961	1920	75
962	1921	73
963	1922	71
964	1924	69
965	1925	67
966	1926	65
967	1928	63
968	1929	61
969	1930	59
970	1931	57
971	1933	55
972	1934	53
973	1935	51
974	1936	49
975	1938	47
976	1939	45
977	1940	43
978	1942	41
979	1945	39
980	1948	37
981	1950	35
982	1953	33
983	1955	31
984	1957	29
985	1960	27
986	1962	25
987	1965	23
988	1970	21
989	1971	19
990	1972	17
991	1973	15
992	1975	13
993	1976	11
994	1978	9
995	1979	7
996	1980	5
997	1982	3
998	1983	1
999	1986	0
